ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
i00233;;Abtei Montier-en-Der arr. Saint-Dizier, Haute-Marne, Diözese Châlons-en-Champagne;227;;Abtei Montier-en-Der (arr. Saint-Dizier, Haute-Marne, Diözese Châlons-en-Champagne);Montier-en-Der (arr. Saint-Dizier, Haute-Marne, Diözese Châlons-en-Champagne);t:orgName
i00234;;Abtei Mont-Saint-Éloi;1113a;;Abtei Mont-Saint-Éloi;Mont-Saint-Éloi;t:orgName
i00237;;Abtei Ribemont;994;;Abtei Ribemont;Ribemont;t:orgName
i00238;;Abtei Saint-Basle c. Verzy, arr. Reims, Marne;809;;Abtei Saint-Basle (c. Verzy, arr. Reims, Marne);Saint-Basle (c. Verzy, arr. Reims, Marne);t:orgName
i00239;;Abtei Saint-Calais arr. Le Mans, Sarthe;65;;Abtei Saint-Calais (arr. Le Mans, Sarthe);Saint-Calais (arr. Le Mans, Sarthe);t:orgName
;;;500;;Abtei Saint-Médard (Soissons, Aisne);Saint-Médard (Soissons, Aisne);t:orgName
i00240;;Abtei Saint-Denis;1061;;Abtei Saint-Denis;Saint-Denis;t:orgName
;;;265b;;Abtei Saint-Nicaise in Reims;Reims;t:orgName
i00241;;Abtei Saint-Denis-en-France;491;;Abtei Saint-Denis-en-France;Saint-Denis-en-France;t:orgName
;;;377;;Abtei Saint-Remi;Saint-Remi;t:orgName
;;;979;;Abtei Saint-Remi;Saint-Remi;t:orgName
i00242;;Abtei Saint-Denis-en-France Seine-Saint-Denis;1019;;Abtei Saint-Denis-en-France (Seine-Saint-Denis);Saint-Denis-en-France (Seine-Saint-Denis);t:orgName
i00243;;Abtei Saint-Denis in Reims;265a;;Abtei Saint-Denis in Reims;Reims;t:orgName
i00244;;Abtei Saint-Médard Soissons, Aisne;219;;Abtei Saint-Médard (Soissons, Aisne;Saint-Médard (Soissons, Aisne;t:orgName
i00248;Reims, Abtei Saint-Remi;Abtei Saint-Remi;278;;Abtei Saint-Remi;Saint-Remi;t:orgName
i00251;;Abtei Sint-Baafs in Gent;1131;;Abtei Sint-Baafs in Gent;Sint-Baafs in Gent;t:orgName
;;;734;;Äbte von Saint-André-du-Câteau;Saint-André-du-Câteau;t:persName
;;;786;;Äbte von Saint-André-du-Câteau;Saint-André-du-Câteau;t:persName
i01127;;Allod Vaux-sous-Laon cne Laon, Aisne;859;;Allod Vaux-sous-Laon (cne Laon, Aisne);Vaux-sous-Laon (cne Laon, Aisne);t:orgName
;;;585;;Äbten von Saint-Remi;Saint-Remi;t:persName
i01128;;Altar von Celles und Orrior;1079d;;Altar von Celles und Orrior;Celles und Orrior;t:orgName
i01316;;Arras;1042;;, Arras;Arras;t:orgName
